PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Umbilical hernia,Umbilical hernia,Good,HP_0001537
Vascular disorders of the intestines,digestive system disease,Good,EFO_0000405
Ventral hernia,ventral hernia,Good,EFO_1001866
Volvulus,intestinal volvulus,Good,EFO_1000989
"Diabetes, insuline treatment (Kela reimbursement)",treatment,Good,EFO_0000727
"Diabetes, insuline treatment (Kela reimbursement) (more controls excluded)",treatment,Good,EFO_0000727
Gonarthrosis [arthrosis of knee](FG),"osteoarthritis, knee",Good,EFO_0004616
"Alcohol abuse, main dg",alcohol dependence,Good,EFO_0003829
"Alcohol abuse, main dg (more controls excluded)",alcohol dependence,Good,EFO_0003829
Anxiety disorders,anxiety disorder,Good,EFO_0006788
Anxiety disorders (more controls excluded),anxiety disorder,Medium,EFO_0006788
Anxiety disorders (more controls excluded),generalized anxiety disorder,Medium,EFO_1001892
Any mental disorder,psychiatric disorder,Medium,MONDO_0002025
Any mental disorder,depressive disorder,Medium,MONDO_0002050
"Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders",Neurodevelopmental disorder,Medium,EFO_0010642
"Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders",mental or behavioural disorder,Medium,EFO_0000677
Autism spe,autism,Good,EFO_0003758
Autism spe (more controls excluded),autism,Good,EFO_0003758
Behavioural disorders,mental or behavioural disorder,Good,EFO_0000677
Behavioural disorders (more controls excluded),mental or behavioural disorder,Good,EFO_0000677
Emotional disorders starting during childhood or adolecense,Neurodevelopmental disorder,Medium,EFO_0010642
Emotional disorders starting during childhood or adolecense,unipolar depression,Medium,EFO_0003761
Emotional disorders starting during childhood or adolecense (more controls excluded),Neurodevelopmental disorder,Medium,EFO_0010642
Emotional disorders starting during childhood or adolecense (more controls excluded),unipolar depression,Medium,EFO_0003761
Other disorders starting during childhood or adolecense,Neurodevelopmental disorder,Medium,EFO_0010642
Other disorders starting during childhood or adolecense,glaucoma,Medium,EFO_0000516
Other disorders starting during childhood or adolecense (more controls excluded),Neurodevelopmental disorder,Medium,EFO_0010642
Other disorders starting during childhood or adolecense (more controls excluded),glaucoma,Medium,EFO_0000516
Social disorders starting during childhood or adolecense,Neurodevelopmental disorder,Medium,EFO_0010642
Social disorders starting during childhood or adolecense,social desirability,Medium,EFO_0004366
Social disorders starting during childhood or adolecense (more controls excluded),Neurodevelopmental disorder,Medium,EFO_0010642
Social disorders starting during childhood or adolecense (more controls excluded),social desirability,Medium,EFO_0004366
Mixed disorders of conduct and emotions,N/A,Did not map,N/A
Mixed disorders of conduct and emotions (more controls excluded),N/A,Did not map,N/A
Any dementia,Dementia,Medium,HP_0000726
Any dementia,dementia (disease),Medium,MONDO_0001627
Any dementia (more controls excluded),dementia (disease),Medium,MONDO_0001627
Any dementia (more controls excluded),Dementia,Medium,HP_0000726
Wide developmental disorders,developmental disability,Medium,EFO_0003852
Wide developmental disorders,autism spectrum disorder,Medium,EFO_0003756
Wide developmental disorders (more controls excluded),developmental disability,Medium,EFO_0003852
Wide developmental disorders (more controls excluded),autism spectrum disorder,Medium,EFO_0003756
KRA_PSY_EATING,N/A,Did not map,N/A
KRA_PSY_EATING (more controls excluded),late congenital syphilis,Good,EFO_0007339
Hyperkinetic disorders,attention deficit hyperactivity disorder,Good,EFO_0003888
Hyperkinetic disorders (more controls excluded),attention deficit hyperactivity disorder,Good,EFO_0003888
Mental retardation,mental retardation,Good,EFO_0003847
Mental retardation (more controls excluded),mental retardation,Good,EFO_0003847
Mood disorders,mood disorder,Good,EFO_0004247
Mood disorders (more controls excluded),mood disorder,Medium,EFO_0004247
Mood disorders (more controls excluded),anxiety disorder,Medium,EFO_0006788
Motor disorders,perceptual disorders,Medium,MONDO_0024417
Motor disorders,communication disorder,Medium,MONDO_0002182
Motor disorders (more controls excluded),perceptual disorders,Medium,MONDO_0024417
Motor disorders (more controls excluded),communication disorder,Medium,MONDO_0002182
Personality disorders,personality,Good,EFO_0003947
Personality disorders (more controls excluded),personality,Good,EFO_0003947
"Mental and behabioural disorders of puerperum, not classified elsewhere",N/A,Did not map,N/A
"Mental and behabioural disorders of puerperum, not classified elsewhere (more controls excluded)",N/A,Did not map,N/A
Schizophrenia or delusion,schizophrenia,Medium,EFO_0000692
Schizophrenia or delusion,treatment refractory schizophrenia,Medium,EFO_0004609
Schizophrenia or delusion (more controls excluded),schizophrenia,Medium,EFO_0000692
Schizophrenia or delusion (more controls excluded),treatment refractory schizophrenia,Medium,EFO_0004609
Nonorganic sleeping disorders,perceptual disorders,Medium,MONDO_0024417
Nonorganic sleeping disorders,communication disorder,Medium,MONDO_0002182
Nonorganic sleeping disorders (more controls excluded),communication disorder,Medium,MONDO_0002182
Nonorganic sleeping disorders (more controls excluded),perceptual disorders,Medium,MONDO_0024417
Speech and linguistic disorders,N/A,Did not map,N/A
Speech and linguistic disorders (more controls excluded),N/A,Did not map,N/A
Substance abuse,substance abuse,Good,MONDO_0002491
Substance abuse (more controls excluded),substance abuse,Medium,MONDO_0002491
Substance abuse (more controls excluded),alcohol abuse,Medium,MONDO_0002046
Tic disorders,tic disorder,Medium,MONDO_0002420
Tic disorders,Tics,Medium,HP_0100033
Tic disorders (more controls excluded),tic disorder,Medium,MONDO_0002420
Tic disorders (more controls excluded),Tics,Medium,HP_0100033
"Cutaneous abscess, furuncle and carbuncle",N/A,Did not map,N/A
Acne,acne,Good,EFO_0003894
Other  and unspecified acne,anthrax infection,Medium,EFO_0000778
Other  and unspecified acne,schizophrenia,Medium,EFO_0000692
Acne vulgaris,acne,Good,EFO_0003894
Actinic keratosis,actinic keratosis,Good,EFO_0002496
Alergic contact dermatitis,contact dermatitis,Good,EFO_0005319
Alopecia areata,alopecia areata,Good,EFO_0004192
Atopic dermatitis,atopic eczema,Good,EFO_0000274
Atrophic disorders of skin,skin atrophy,Good,EFO_1000766
Other bullous disorders,bullous pemphigoid,Medium,EFO_0007187
Other bullous disorders,glaucoma,Medium,EFO_0000516
Bullous disorders,bullous pemphigoid,Good,EFO_0007187
Cellulitis,cellulitis,Good,EFO_0003035
"Chronic ulcer of skin, not elsewhere classified",chronic ulcer of skin,Medium,EFO_0007066
"Chronic ulcer of skin, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
Corns and callosities,N/A,Did not map,N/A
Decubitus ulcer and pressure area,decubitus ulcer,Good,EFO_0007067
Dermatitis herpetiformis,dermatitis herpetiformis,Good,EFO_1000684
Dermatitis and eczema,atopic eczema,Good,EFO_0000274
Other and unspecified dermatitis,anthrax infection,Medium,EFO_0000778
Other and unspecified dermatitis,schizophrenia,Medium,EFO_0000692
Other and unspecified dermatitis,anthrax infection,Medium,EFO_0000778
Other and unspecified dermatitis,schizophrenia,Medium,EFO_0000692
Nummular dermatitis,contact dermatitis,Good,EFO_0005319
Disorders of skin appendages,skin disease,Medium,EFO_0000701
Disorders of skin appendages,inflammatory skin disease,Medium,EFO_1000636
Dyshidrosis [pompholyx],dyshidrosis,Good,EFO_1000688
Other epidermal thickening,Epidermal thickening,Medium,HP_0011368
Other epidermal thickening,Other genetic epidermal disease,Medium,Orphanet_79360
Other and unspecified epidermal thickening,anthrax infection,Medium,EFO_0000778
Other and unspecified epidermal thickening,schizophrenia,Medium,EFO_0000692
Erythema multiforme,erythema multiforme,Good,EFO_1000694
Erythema nodosum,Erythema nodosum,Good,HP_0012219
Other erythematous conditions,respiratory system disease,Medium,EFO_0000684
Other erythematous conditions,atopic eczema,Medium,EFO_0000274
"Universal eryhrodermia, KELA reimbursement",pancolitis,Good,EFO_0005626
Other and unspecified erythematous conditions,respiratory system disease,Medium,EFO_0000684
Other and unspecified erythematous conditions,anthrax infection,Medium,EFO_0000778
Erythema intertrigo,intertrigo,Medium,MONDO_0021340
Erythema intertrigo,Erythema,Medium,HP_0010783
Exfoliative dermatitis,exfoliative dermatitis,Good,EFO_0009456
Other follicular disorders,psoriasis,Medium,EFO_0000676
Other follicular disorders,glaucoma,Medium,EFO_0000516
Follicular cysts of skin and subcutaneous tissue,skin disease,Good,EFO_0000701
Other and unspecified follicular disorders,glaucoma,Medium,EFO_0000516
Other and unspecified follicular disorders,schizophrenia,Medium,EFO_0000692
Dermatitis due to ingested food,contact dermatitis due to nickel,Medium,EFO_0005320
Dermatitis due to ingested food,toxicodendron dermatitis,Medium,EFO_1000773
Granuloma annulare,granuloma annulare,Good,EFO_1000704
Granulomatous disorders of skin and subcutaneous tissue,skin disease,Good,EFO_0000701
Hidradenitis suppurativa,hidradenitis suppurativa,Good,EFO_1000710
Hirsutism,Hirsutism,Good,HP_0001007
Hypertrichosis,Rare disorder with hypertrichosis,Good,Orphanet_79365
Hypertrophic disorders of skin,skin disease,Medium,EFO_0000701
Hypertrophic disorders of skin,inflammatory skin disease,Medium,EFO_1000636
Hypertrophic scar,severe cutaneous adverse reaction,Good,EFO_0006346
Impetigo,impetigo,Good,EFO_1000714
Infective dermatitis,dermatitis,Medium,MONDO_0002406
Infective dermatitis,infective endocarditis,Medium,MONDO_0000565
Infections of the skin and subcutaneous tissue,Subcutaneous nodule,Medium,HP_0001482
Infections of the skin and subcutaneous tissue,Abnormal subcutaneous fat tissue distribution,Medium,HP_0007552
Other and unspecified local infections of skin and subcutaneous tissue,lipoma,Good,EFO_0000759
Other local infections of skin and subcutaneous tissue,skin disease,Good,EFO_0000701
Dermatitis due to substances taken internally,toxicodendron dermatitis,Medium,EFO_1000773
Dermatitis due to substances taken internally,contact dermatitis due to nickel,Medium,EFO_0005320
Lichen planus,lichen planus,Good,EFO_1000726
Lichen sclerosus et atrophicus,lichen sclerosus et atrophicus,Good,MONDO_0007899
Lichen simplex chronicus,neurodermatitis,Good,EFO_1000740
Lichen simplex chronicus and prurigo,N/A,Did not map,N/A
Other localized connective tissue disorders,connective tissue disease,Good,EFO_1001986
Localized scleroderma [morphea],localised scleroderma,Medium,EFO_1001361
Localized scleroderma [morphea],scleroderma,Medium,EFO_1001993
Lupus erythematosus,lupus erythematosus,Good,MONDO_0004670
Acute lymphadenitis,lymphadenitis (disease),Good,MONDO_0002052
Nail disorders,communication disorder,Medium,MONDO_0002182
Nail disorders,nail,Medium,UBERON_0001705
Other and unspecified nail disorders,glaucoma,Medium,EFO_0000516
Other and unspecified nail disorders,schizophrenia,Medium,EFO_0000692
Ingrowing nail,nail,Medium,UBERON_0001705
Ingrowing nail,Pterygium of nails,Medium,HP_0002165
Skin changes due to chronic exposure to nonionizing radiation,Chronic diarrhea due to glucoamylase deficiency,Medium,Orphanet_103907
Skin changes due to chronic exposure to nonionizing radiation,Combined immunodeficiency with granulomatosis,Medium,Orphanet_157949
Other and unspecified skin changes due to chronic exposure to nonionizing radiation,respiratory system disease,Medium,EFO_0000684
Other and unspecified skin changes due to chronic exposure to nonionizing radiation,asthma,Medium,EFO_0000270
Other acute skin changes due to ultraviolet radiation,respiratory system disease,Medium,EFO_0000684
Other acute skin changes due to ultraviolet radiation,pneumonia,Medium,EFO_0003106
Other and unspecified acute skin changes due to ultraviolet radiation,respiratory system disease,Medium,EFO_0000684
Other and unspecified acute skin changes due to ultraviolet radiation,asthma,Medium,EFO_0000270
Other contact dermatitis,contact dermatitis,Good,EFO_0005319
"Other disorders of skin and subcutaneous tissue, not elsewhere classified",skin disease,Good,EFO_0000701
Other melanin hyperpigmentation,Periorbital hyperpigmentation,Medium,HP_0001106
Other melanin hyperpigmentation,Disorder of melanin metabolism,Medium,Orphanet_352728
Other disorders of skin and subcutaneous tissue,skin disease,Good,EFO_0000701
Other disorders of pigmentation,glaucoma,Medium,EFO_0000516
Other disorders of pigmentation,psoriasis,Medium,EFO_0000676
Papulosquamous disorders,communication disorder,Medium,MONDO_0002182
Papulosquamous disorders,perceptual disorders,Medium,MONDO_0024417
Other papulosquamous disorders,psoriasis,Medium,EFO_0000676
Other papulosquamous disorders,glaucoma,Medium,EFO_0000516
Parapsoriasis,parapsoriasis,Good,EFO_1000747
Pemphigoid,bullous pemphigoid,Medium,EFO_0007187
Pemphigoid,pemphigoid gestationis,Medium,EFO_1000709
Bullous pemphigoid,bullous pemphigoid,Good,EFO_0007187
Perioral dermatitis,"Dermatitis, Perioral",Good,EFO_1001305
Pilonidal cyst,Pilonidal sinus,Good,HP_0010769
Other  prurigo,prurigo,Medium,MONDO_0021739
Other  prurigo,prurigo nodularis,Medium,MONDO_0026045
Prurigo nodularis,prurigo nodularis,Good,MONDO_0026045
Pruritus,Pruritus,Good,HP_0000989
Psoriasis,psoriasis,Good,EFO_0000676
Arthropathic psoriasis,psoriatic arthritis,Good,EFO_0003778
Guttate psoriasis,guttate psoriasis,Good,MONDO_0023297
Other and unspecified psoriasis,psoriasis,Medium,EFO_0000676
Other and unspecified psoriasis,anthrax infection,Medium,EFO_0000778
Pustulosis palmaris et plantaris,psoriasis,Good,EFO_0000676
Psoriasis vulgaris,psoriasis vulgaris,Good,EFO_1001494
Pyoderma,Pyoderma,Good,HP_0000999
Pyogenic granuloma,lobular capilliary hemangioma,Good,EFO_0010830
Radiation-related disorders of the skin and subcutaneous tissue,skin disease,Good,EFO_0000701
Rosacea,rosacea,Good,EFO_1000760
Other and unspcified rosacea,N/A,Did not map,N/A
Scar conditions and fibrosis of skin,N/A,Did not map,N/A
Seborrhoeic dermatitis,seborrheic dermatitis,Good,EFO_1000764
Seborrhoeic keratosis,keratosis,Medium,EFO_1000720
Seborrhoeic keratosis,seborrheic keratosis,Medium,EFO_0005584
Diseases of the skin and subcutaneous tissue,skin disease,Good,EFO_0000701
Other and unspecified disorders of skin and subcutaneous tissue,lipoma,Good,EFO_0000759
"Ulcer of lower limb, not elsewhere classified",ulcer of lower limb,Medium,EFO_0007068
"Ulcer of lower limb, not elsewhere classified",lower extremity fracture,Medium,EFO_0009512
Urticaria,urticaria,Good,EFO_0005531
Urticaria and erythema,N/A,Did not map,N/A
Allergic urticaria,allergic urticaria,Good,EFO_1000669
Dermatographic urticaria,dermatographia,Good,EFO_1000685
Idiopathic urticaria,urticaria,Medium,EFO_0005531
Idiopathic urticaria,physical urticaria,Medium,EFO_1000754
Other and unspecified urticaria,anthrax infection,Medium,EFO_0000778
