	term	label	source	quality	action
Any dementia (more controls excluded)	http://purl.obolibrary.org/obo/HP_0000726	Dementia	OLS API EFO lookup	fuzzy	check if valid
Wide developmental disorders	http://www.ebi.ac.uk/efo/EFO_0003852	developmental disability	OLS API EFO lookup	fuzzy	check if valid
Wide developmental disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0003852	developmental disability	OLS API EFO lookup	fuzzy	check if valid
KRA_PSY_EATING					
KRA_PSY_EATING (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0007339	late congenital syphilis	OLS API EFO lookup	fuzzy	check if valid
Hyperkinetic disorders	http://www.ebi.ac.uk/efo/EFO_0003888	attention deficit hyperactivity disorder	OLS API EFO lookup	fuzzy	check if valid
Hyperkinetic disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0003888	attention deficit hyperactivity disorder	OLS API EFO lookup	fuzzy	check if valid
Mental retardation (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0009152	mental retardation, autosomal dominant 52	OLS API EFO lookup	fuzzy	check if valid
Mood disorders	http://www.ebi.ac.uk/efo/EFO_0004247	mood disorder	EFO OBO	match	
Mood disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0004247	mood disorder	OLS API EFO lookup	fuzzy	check if valid
Motor disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Motor disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_1001089	partial motor epilepsy	OLS API EFO lookup	fuzzy	check if valid
Personality disorders					
Personality disorders (more controls excluded)					
Mental and behabioural disorders of puerperum, not classified elsewhere					
Mental and behabioural disorders of puerperum, not classified elsewhere (more controls excluded)					
Schizophrenia or delusion	http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	OLS API EFO lookup	fuzzy	check if valid
Schizophrenia or delusion (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	OLS API EFO lookup	fuzzy	check if valid
Nonorganic sleeping disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Nonorganic sleeping disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Speech and linguistic disorders	http://www.ebi.ac.uk/efo/EFO_0004336	speech perception	OLS API EFO lookup	fuzzy	check if valid
Speech and linguistic disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0004336	speech perception	OLS API EFO lookup	fuzzy	check if valid
Substance abuse	http://purl.obolibrary.org/obo/MONDO_0002491	substance abuse	EFO OBO	match	
Substance abuse (more controls excluded)	http://purl.obolibrary.org/obo/MONDO_0002491	substance abuse	OLS API EFO lookup	fuzzy	check if valid
Tic disorders (more controls excluded)	http://purl.obolibrary.org/obo/MONDO_0002420	tic disorder	OLS API EFO lookup	fuzzy	check if valid
Cutaneous abscess, furuncle and carbuncle	http://purl.obolibrary.org/obo/HP_0031292	Cutaneous abscess furuncle and carbuncle	Zooma API lookup	match	
Acne	http://www.ebi.ac.uk/efo/EFO_0003894	acne	EFO OBO	match	
Other  and unspecified acne	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Acne vulgaris	http://www.ebi.ac.uk/efo/EFO_0003894	acne	EFO OBO	match	
Actinic keratosis	http://www.ebi.ac.uk/efo/EFO_0002496	actinic keratosis	EFO OBO	match	
Alergic contact dermatitis	http://www.ebi.ac.uk/efo/EFO_0005319	contact dermatitis	OLS API EFO lookup	fuzzy	check if valid
Androgenic alopecia	http://www.ebi.ac.uk/efo/EFO_0004191	androgenetic alopecia	EFO OBO	match	
Alopecia areata	http://www.orpha.net/ORDO/Orphanet_79364	Alopecia	EFO OBO	match	
Atopic dermatitis	http://www.ebi.ac.uk/efo/EFO_0000274	atopic dermatitis	Zooma API lookup	match	
Atrophic disorders of skin	http://www.ebi.ac.uk/efo/EFO_1000766	Atrophic disorders of skin	Zooma API lookup	match	
Other bullous disorders	http://www.orpha.net/ORDO/Orphanet_1867	Bullous dystrophy, macular type	OLS API EFO lookup	fuzzy	check if valid
Bullous disorders	http://www.ebi.ac.uk/efo/EFO_0007187	bullous pemphigoid	OLS API EFO lookup	fuzzy	check if valid
Cellulitis	http://www.ebi.ac.uk/efo/EFO_0003035	cellulitis	EFO OBO	match	
Chronic ulcer of skin, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0007066	chronic ulcer of skin	OLS API EFO lookup	fuzzy	check if valid
Corns and callosities	http://www.orpha.net/ORDO/Orphanet_79141	Corns and callosities	Zooma API lookup	match	
Cutis laxa senilis	http://www.orpha.net/ORDO/Orphanet_209	Cutis laxa	OLS API EFO lookup	fuzzy	check if valid
Decubitus ulcer and pressure area	http://www.ebi.ac.uk/efo/EFO_0007067	decubitus ulcer	OLS API EFO lookup	fuzzy	check if valid
Dermatitis herpetiformis	http://www.ebi.ac.uk/efo/EFO_1000684	dermatitis herpetiformis	EFO OBO	match	
Dermatitis and eczema	http://purl.obolibrary.org/obo/HP_0000964	Eczema	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified dermatitis	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Nummular dermatitis	http://purl.obolibrary.org/obo/MONDO_0002406	dermatitis	OLS API EFO lookup	fuzzy	check if valid
Disorders of skin appendages	http://www.ebi.ac.uk/efo/EFO_0000701	skin disease	OLS API EFO lookup	fuzzy	check if valid
Dyshidrosis [pompholyx]	http://www.ebi.ac.uk/efo/EFO_1000688	dyshidrosis	OLS API EFO lookup	fuzzy	check if valid
Other epidermal thickening	http://purl.obolibrary.org/obo/HP_0011368	Other epidermal thickening	Zooma API lookup	match	
Other and unspecified epidermal thickening	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Erythema multiforme	http://www.ebi.ac.uk/efo/EFO_1000694	erythema multiforme	EFO OBO	match	
Erythema nodosum	http://purl.obolibrary.org/obo/HP_0012219	erythema nodosum	Zooma API lookup	match	
Other erythematous conditions	http://www.ebi.ac.uk/efo/EFO_0000701	Other erythematous conditions	Zooma API lookup	match	
Universal eryhrodermia, KELA reimbursement	http://www.ebi.ac.uk/efo/EFO_0005626	pancolitis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified erythematous conditions	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Erythema intertrigo	http://purl.obolibrary.org/obo/MONDO_0021340	intertrigo	OLS API EFO lookup	fuzzy	check if valid
Exfoliative dermatitis	http://www.ebi.ac.uk/efo/EFO_0009456	exfoliative dermatitis	EFO OBO	match	
Factitial dermatitis	http://purl.obolibrary.org/obo/MONDO_0002406	dermatitis	OLS API EFO lookup	fuzzy	check if valid
Other follicular disorders	http://www.ebi.ac.uk/efo/EFO_1000702	Other follicular disorders	Zooma API lookup	match	
Follicular cysts of skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_1001329	Follicular cysts of skin and subcutaneous tissue	Zooma API lookup	match	
Other and unspecified follicular disorders	http://www.ebi.ac.uk/efo/EFO_0000211	unspecified peripheral T-cell lymphoma	OLS API EFO lookup	fuzzy	check if valid
Dermatitis due to ingested food	http://www.ebi.ac.uk/efo/EFO_0005320	contact dermatitis due to nickel	OLS API EFO lookup	fuzzy	check if valid
Granuloma annulare	http://www.ebi.ac.uk/efo/EFO_1000704	granuloma annulare	EFO OBO	match	
Granulomatous disorders of skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_1000705	Granulomatous disorders of skin and subcutaneous tissue	Zooma API lookup	match	
Other nonscarring hair loss	http://www.ebi.ac.uk/efo/EFO_1002028	cicatricial alopecia	OLS API EFO lookup	fuzzy	check if valid
Cicatricial alopecia [scarring hair loss]	http://www.ebi.ac.uk/efo/EFO_1002028	cicatricial alopecia	OLS API EFO lookup	fuzzy	check if valid
Hidradenitis suppurativa	http://www.ebi.ac.uk/efo/EFO_1000710	hidradenitis suppurativa	EFO OBO	match	
Hirsutism	http://purl.obolibrary.org/obo/HP_0001007	hirsutism	Zooma API lookup	match	
Hypertrichosis	http://www.orpha.net/ORDO/Orphanet_79365	Hypertrichosis	EFO OBO	match	
Hypertrophic disorders of skin	http://www.ebi.ac.uk/efo/EFO_0000701	Hypertrophic disorders of skin	Zooma API lookup	match	
Hypertrophic scar	http://www.ebi.ac.uk/efo/EFO_0007747	postburn hypertrophic scarring severity measurement	OLS API EFO lookup	fuzzy	check if valid
Impetigo	http://www.ebi.ac.uk/efo/EFO_1000714	impetigo	EFO OBO	match	
Infective dermatitis	http://purl.obolibrary.org/obo/MONDO_0002406	dermatitis	OLS API EFO lookup	fuzzy	check if valid
Infections of the skin and subcutaneous tissue	http://purl.obolibrary.org/obo/HP_0001482	Subcutaneous nodule	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified local infections of skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_0000759	lipoma	OLS API EFO lookup	fuzzy	check if valid
Other local infections of skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_0000701	Other local infections of skin and subcutaneous tissue	Zooma API lookup	match	
Dermatitis due to substances taken internally	http://purl.obolibrary.org/obo/HP_0000964	Dermatitis due to substances taken internally	Zooma API lookup	match	
Lichen planus	http://www.ebi.ac.uk/efo/EFO_1000726	lichen planus	EFO OBO	match	
Lichen sclerosus et atrophicus	http://purl.obolibrary.org/obo/MONDO_0007899	lichen sclerosus et atrophicus	EFO OBO	match	
Lichen simplex chronicus	http://www.ebi.ac.uk/efo/EFO_1000740	neurodermatitis	EFO OBO	match	
Lichen simplex chronicus and prurigo	http://www.ebi.ac.uk/efo/EFO_1000724	Lichen simplex chronicus and prurigo	Zooma API lookup	match	
Other localized connective tissue disorders					
Localized scleroderma [morphea]	http://www.ebi.ac.uk/efo/EFO_1001993	scleroderma	OLS API EFO lookup	fuzzy	check if valid
Lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0004670	lupus erythematosus	EFO OBO	match	
Acute lymphadenitis	http://purl.obolibrary.org/obo/MONDO_0002052	lymphadenitis (disease)	EFO OBO	match	
Nail disorders	http://www.orpha.net/ORDO/Orphanet_183454	Nail disorders	Zooma API lookup	match	
Other and unspecified nail disorders	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	OLS API EFO lookup	fuzzy	check if valid
Nail dystrophy	http://purl.obolibrary.org/obo/HP_0008404	nail dystrophy	Zooma API lookup	match	
Ingrowing nail					
Necrobiosis lipoidica, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_1000738	necrobiosis lipoidica	OLS API EFO lookup	fuzzy	check if valid
Skin changes due to chronic exposure to nonionizing radiation	http://www.ebi.ac.uk/efo/EFO_0005805	polycythemia due to hypoxia	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified skin changes due to chronic exposure to nonionizing radiation					
Other acute skin changes due to ultraviolet radiation	http://www.ebi.ac.uk/efo/EFO_1001411	Radiation Pneumonitis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified acute skin changes due to ultraviolet radiation	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified bullous disorders	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	OLS API EFO lookup	fuzzy	check if valid
Other contact dermatitis	http://purl.obolibrary.org/obo/MONDO_0006596	photoallergic dermatitis	OLS API EFO lookup	fuzzy	check if valid
Other disorders of skin and subcutaneous tissue, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0000701	"""Other disorders of skin and subcutaneous tissue, not elsewhere classified"""	Zooma API lookup	match	
Other melanin hyperpigmentation	http://www.ebi.ac.uk/efo/EFO_0009047	Hyperpigmentation of the skin	OLS API EFO lookup	fuzzy	check if valid
Other disorders of skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_0000701	skin disease	OLS API EFO lookup	fuzzy	check if valid
Other disorders of pigmentation	http://www.ebi.ac.uk/efo/EFO_1000755	Other disorders of pigmentation	Zooma API lookup	match	
Papulosquamous disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Other papulosquamous disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Parapsoriasis	http://www.ebi.ac.uk/efo/EFO_1000747	parapsoriasis	EFO OBO	match	
Pemphigoid	http://www.ebi.ac.uk/efo/EFO_0007187	bullous pemphigoid	EFO OBO	match	
Bullous pemphigoid	http://www.ebi.ac.uk/efo/EFO_0007187	bullous pemphigoid	EFO OBO	match	
Perioral dermatitis	http://www.ebi.ac.uk/efo/EFO_1001305	Dermatitis, Perioral	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified disorders of pigmentation	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Pigmented purpuric dermatosis	http://www.ebi.ac.uk/efo/EFO_1000723	leg dermatosis	OLS API EFO lookup	fuzzy	check if valid
Pilonidal cyst	http://purl.obolibrary.org/obo/HP_0010771	Pilonidal cyst	Zooma API lookup	match	
Pityriasis rosea	http://www.ebi.ac.uk/efo/EFO_1000756	pityriasis rosea	EFO OBO	match	
Polymorphous light eruption	http://www.ebi.ac.uk/efo/EFO_1001253	maculopapular eruption	OLS API EFO lookup	fuzzy	check if valid
Other  prurigo	http://purl.obolibrary.org/obo/MONDO_0026045	prurigo nodularis	OLS API EFO lookup	fuzzy	check if valid
Prurigo nodularis	http://purl.obolibrary.org/obo/MONDO_0026045	prurigo nodularis	EFO OBO	match	
Pruritus	http://purl.obolibrary.org/obo/HP_0000989	pruritus	OT Zooma Mappings	match	
Psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	psoriasis	EFO OBO	match	
Arthropathic psoriasis	http://www.ebi.ac.uk/efo/EFO_0003778	psoriatic arthritis	EFO OBO	match	
Guttate psoriasis	http://purl.obolibrary.org/obo/MONDO_0023297	guttate psoriasis	EFO OBO	match	
Other and unspecified psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	psoriasis	OLS API EFO lookup	fuzzy	check if valid
Pustulosis palmaris et plantaris	http://www.orpha.net/ORDO/Orphanet_163927	Pustulosis palmaris et plantaris	EFO OBO	match	
Psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	psoriasis vulgaris	EFO OBO	match	
Pyoderma	http://purl.obolibrary.org/obo/HP_0000999	Pyoderma	OLS API EFO lookup	match	
Pyogenic granuloma	http://purl.obolibrary.org/obo/MONDO_0022096	pyogenic granuloma	EFO OBO	match	
Radiation-related disorders of the skin and subcutaneous tissue	http://purl.obolibrary.org/obo/HP_0001482	Subcutaneous nodule	OLS API EFO lookup	fuzzy	check if valid
Rosacea	http://www.ebi.ac.uk/efo/EFO_1000760	rosacea	EFO OBO	match	
Other and unspcified rosacea					
Scar conditions and fibrosis of skin	http://www.ebi.ac.uk/efo/EFO_0007183	bronchiolitis obliterans	OLS API EFO lookup	fuzzy	check if valid
Seborrhoeic dermatitis	http://www.ebi.ac.uk/efo/EFO_1000764	Seborrhoeic dermatitis	Zooma API lookup	match	
Seborrhoeic keratosis	http://www.ebi.ac.uk/efo/EFO_0005584	Seborrhoeic keratosis	Zooma API lookup	match	
Diseases of the skin and subcutaneous tissue	http://purl.obolibrary.org/obo/HP_0001482	Subcutaneous nodule	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified disorders of skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_0000759	lipoma	OLS API EFO lookup	fuzzy	check if valid
Striae atrophicae	http://purl.obolibrary.org/obo/HP_0001065	Striae distensae	OLS API EFO lookup	match	
Ulcer of lower limb, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0007068	"""Ulcer of lower limb, not elsewhere classified"""	Zooma API lookup	match	
Urticaria	http://www.ebi.ac.uk/efo/EFO_0005531	urticaria	EFO OBO	match	
Urticaria and erythema	http://www.ebi.ac.uk/efo/EFO_0005531	urticaria	OLS API EFO lookup	fuzzy	check if valid
Allergic urticaria	http://www.ebi.ac.uk/efo/EFO_1000669	allergic urticaria	EFO OBO	match	
Urticaria due to cold and heat	http://www.ebi.ac.uk/efo/EFO_0009516	burn	OLS API EFO lookup	fuzzy	check if valid
Dermatographic urticaria	http://www.ebi.ac.uk/efo/EFO_1000685	dermatographia	EFO OBO	match	
Idiopathic urticaria	http://www.ebi.ac.uk/efo/EFO_1001881	cold urticaria	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified urticaria	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified vasculitis limited to skin	http://www.ebi.ac.uk/efo/EFO_0000211	unspecified peripheral T-cell lymphoma	OLS API EFO lookup	fuzzy	check if valid
Vasculitis limited to skin, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0006803	vasculitis	OLS API EFO lookup	fuzzy	check if valid
Vitiligo	http://www.ebi.ac.uk/efo/EFO_0004208	Vitiligo	EFO OBO	match	
Xerosis cutis	http://www.orpha.net/ORDO/Orphanet_209	Cutis laxa	OLS API EFO lookup	fuzzy	check if valid
Localized skin eruption due to drugs and medicaments					
Lung transplantation					
Achilles tendinitis	http://purl.obolibrary.org/obo/MONDO_0004857	tendinitis	OLS API EFO lookup	fuzzy	check if valid
Adhesive capsulitis of shoulder	http://www.ebi.ac.uk/efo/EFO_1000941	frozen shoulder	EFO OBO	match	
Alogoneurodystrophy					
Other acquired deformities of ankle and foot	http://www.ebi.ac.uk/efo/EFO_0009615	ankle fracture	OLS API EFO lookup	fuzzy	check if valid
Ankylosis of joint	http://purl.obolibrary.org/obo/MONDO_0002257	ankylosis (disease)	OLS API EFO lookup	fuzzy	check if valid
Ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	ankylosing spondylitis	EFO OBO	match	
Ankylosing spondylitis, strict definition	http://www.ebi.ac.uk/efo/EFO_0003898	ankylosing spondylitis	OLS API EFO lookup	fuzzy	check if valid
Arthropathies in other diseases classified elsewhere	http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy	OLS API EFO lookup	fuzzy	check if valid
Ohter specific/unspecified arthritis	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Arthropathies					
Arthrosis	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease	EFO OBO	match	
Artrosis, including avohilmo	http://www.ebi.ac.uk/efo/EFO_0005540	bile duct carcinoma	OLS API EFO lookup	fuzzy	check if valid
